fid,행정동명,행정동코드,NUMPOINTS
"410",강동구 암사2동,1125058,2
"411",강동구 암사3동,1125059,4
"412",강동구 천호1동,1125061,5
"413",강동구 천호3동,1125063,2
"414",강동구 성내1동,1125065,3
"415",강동구 성내3동,1125067,3
"416",강동구 둔촌1동,1125070,0
"417",강동구 둔촌2동,1125071,2
"418",강동구 암사1동,1125072,4
"419",강동구 길동,1125074,4
"420",강동구 성내2동,1125066,1
"421",강동구 천호2동,1125073,6
"422",동대문구 제기동,1106082,2
"423",성북구 안암동,1108060,1
"424",성북구 종암동,1108084,5
