시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
중랑구,면목3.8동,11263,4347,3099,2085,1369,277,66,20,-
중랑구,망우본동,12860,4734,3518,2403,1682,406,93,24,-
성북구,소계,179660,61510,45693,36539,27954,6373,1272,319,2.3
성북구,돈암1동,5808,1385,1788,1348,1006,219,51,11,-
성북구,돈암2동,8111,1188,2100,2316,1980,427,78,22,-
성북구,안암동,9264,5964,1688,870,584,126,26,6,-
성북구,보문동,7147,3011,1713,1321,877,196,21,8,-
성북구,정릉1동,7051,1819,1800,1706,1354,294,63,15,-
성북구,정릉2동,8957,2284,2593,2116,1509,359,78,18,-
성북구,정릉3동,7188,3255,1852,1103,735,199,32,12,-
성북구,정릉4동,9865,2659,2837,2245,1647,383,76,18,-
성북구,길음1동,11850,1721,2694,3298,3380,627,108,22,-
성북구,길음2동,6401,1666,1664,1564,1174,270,51,12,-
성북구,월곡1동,9989,2454,2649,2383,1934,454,95,20,-
성북구,월곡2동,8962,3767,2175,1523,1139,286,57,15,-
성북구,장위1동,8056,2487,2286,1676,1230,300,58,19,-
성북구,장위2동,5870,2030,1720,1150,720,196,44,10,-
성북구,장위3동,6759,1839,1745,1582,1259,274,49,11,-
성북구,성북동,7285,2945,1982,1247,795,237,57,22,-
성북구,삼선동,10777,4790,2551,1673,1345,319,78,21,-
성북구,동선동,8633,5186,1684,965,607,149,36,6,-
성북구,종암동,16268,5568,3939,3316,2693,604,116,32,-
성북구,석관동,15419,5492,4233,3137,1986,454,98,19,-
강북구,소계,129805,45685,36432,25261,17339,4048,836,204,2.2
강북구,번1동,9248,4380,2375,1368,885,198,37,5,-
강북구,번2동,6986,2250,2237,1408,833,201,51,6,-
강북구,번3동,7142,2002,2295,1529,1023,250,32,11,-
강북구,수유1동,9166,3467,2620,1643,1080,282,64,10,-
강북구,수유2동,8720,2674,2672,1795,1201,302,59,17,-
강북구,수유3동,11500,5632,2811,1728,1012,256,49,12,-
강북구,삼양동,9825,3023,2891,1998,1447,363,81,22,-
강북구,미아동,10522,4807,2685,1675,1052,239,48,16,-
강북구,송중동,12647,4548,3369,2499,1713,415,83,20,-
강북구,송천동,11934,4508,3338,2202,1465,343,67,11,-
강북구,삼각산동,11035,2021,2663,2948,2741,530,102,30,-
강북구,우이동,8286,2436,2586,1749,1159,279,62,15,-
강북구,인수동,12794,3937,3890,2719,1728,390,101,29,-
도봉구,소계,127362,34884,37166,28658,21089,4478,856,231,2.4
도봉구,쌍문1동,8698,2489,2565,1919,1313,321,73,18,-
도봉구,쌍문2동,7935,2457,2376,1659,1152,228,46,17,-
도봉구,쌍문3동,7363,2761,1943,1458,954,199,38,10,-
도봉구,쌍문4동,6768,1238,1827,1799,1575,277,45,7,-
도봉구,방학1동,11541,3502,3281,2386,1832,443,80,17,-
도봉구,방학2동,8473,2768,2612,1647,1114,255,63,14,-
도봉구,방학3동,9537,1399,2811,2557,2201,457,95,17,-
도봉구,창1동,10103,2919,2875,2289,1653,298,53,16,-
도봉구,창2동,11418,2889,3391,2661,1935,429,88,25,-
도봉구,창3동,5919,1901,1717,1225,828,202,35,11,-
도봉구,창4동,9984,2256,2729,2458,2075,389,61,16,-
도봉구,창5동,9554,2347,2699,2340,1740,347,66,15,-
도봉구,도봉1동,9137,3023,2976,1762,1056,245,47,28,-
도봉구,도봉2동,10932,2935,3364,2498,1661,388,66,20,-
노원구,소계,202695,56438,54201,45680,37794,7101,1209,272,2.5
노원구,월계1동,9576,3440,2542,1799,1413,314,55,13,-
노원구,월계2동,11385,3531,3296,2484,1636,360,69,9,-
노원구,월계3동,12265,3359,3696,2893,1867,377,64,9,-
노원구,공릉2동,15508,4783,3581,3296,3113,597,113,25,-
노원구,하계1동,10616,3265,2623,2273,2032,358,48,17,-
노원구,하계2동,7924,1481,2013,2021,2024,333,44,8,-
노원구,중계본동,7869,1105,1631,2054,2443,528,86,22,-
노원구,중계1동,8642,1070,1571,2536,2980,439,39,7,-
노원구,중계4동,7865,2081,2132,1763,1519,311,44,15,-
노원구,상계1동,14538,3454,4129,3405,2775,631,117,27,-
노원구,상계2동,7961,2415,1945,1692,1524,296,72,17,-
노원구,상계5동,10025,3030,2916,2156,1527,323,59,14,-
노원구,상계8동,8738,1954,2463,2311,1728,242,32,8,-
노원구,상계9동,7994,1765,2361,2042,1538,238,36,14,-
노원구,상계10동,6248,1431,1967,1517,1153,140,31,9,-
노원구,상계3.4동,10884,3275,3309,2209,1621,384,67,19,-
노원구,상계6.7동,13044,3524,3646,3071,2361,380,52,10,-
노원구,중계2.3동,14359,4119,4302,3158,2321,382,69,8,-
노원구,공릉1동,17254,7356,4078,3000,2219,468,112,21,-
은평구,소계,190631,57853,54542,40464,29125,6928,1387,332,2.4
은평구,녹번동,15705,5033,4701,3314,2068,493,81,15,-
은평구,불광1동,15989,4730,4876,3484,2283,497,97,22,-
은평구,갈현1동,9944,3373,2945,1967,1290,287,60,22,-
은평구,갈현2동,11473,3136,3385,2591,1820,434,87,20,-
은평구,구산동,11848,2785,3474,2828,2101,544,87,29,-
은평구,대조동,12810,5597,3441,2109,1274,299,79,11,-
은평구,응암1동,11145,3771,3122,2211,1615,353,59,14,-
은평구,응암2동,10121,2171,2807,2655,2009,386,71,22,-
은평구,신사1동,10970,3009,3254,2468,1747,395,82,15,-
은평구,신사2동,8232,2314,2417,1803,1328,280,70,20,-
은평구,증산동,6166,1736,1867,1316,951,237,44,15,-
은평구,수색동,3598,963,1116,801,566,117,32,X,-
은평구,진관동,19989,4742,4706,4452,4506,1272,257,54,-
은평구,불광2동,12584,4589,3660,2409,1472,366,72,16,-
은평구,응암3동,11289,4431,3268,1966,1244,300,61,19,-
